"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","test_pipeline_persistence_and_resume","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_pipeline","",""
"","2","test_initialization","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","TestGninaEngine","test_gnina","",""
"测试 plugins 子命令","43","test_plugins_command","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_main","",""
"","502","test_run_streaming_timeout","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_subprocess_new","",""
"","127","test_tree_plot_circular","packages.plot.tests","Sun Apr 19 10:51:16 UTC 2026","passed","Sun Apr 19 10:51:16 UTC 2026","","test_tree_plot","",""
"","127","test_bar_plot_se","packages.plot.tests","Sun Apr 19 10:50:49 UTC 2026","passed","Sun Apr 19 10:50:49 UTC 2026","","test_bar","",""
"Test receptor preparation with different charge models.","31137","test_prepare_receptor_charge_model","packages.docking.tests","Sun Apr 19 10:50:17 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_prep","",""
"","5","test_haddock_dock_custom_config","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_haddock","",""
"","14","test_yaml_config","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_cli_config","",""
"","0","test_import_rna_seq_pipeline","packages.core.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_modules_import","",""
"","147","test_tree_plot_no_confidence","packages.plot.tests","Sun Apr 19 10:51:16 UTC 2026","passed","Sun Apr 19 10:51:16 UTC 2026","","test_tree_plot","",""
"","0","test_import_docking_api","packages.core.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_modules_import","",""
"","14","test_chart_specific_rc_params_applied_and_restored","packages.plot.tests","Sun Apr 19 10:50:50 UTC 2026","passed","Sun Apr 19 10:50:50 UTC 2026","","test_chart_specific_theme_support","",""
"","1","test_reverse_complement","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
"","11","test_invalid_config_format","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_cli_config","",""
"","1","test_quant_manager_run","packages.rna_seq.tests","Sun Apr 19 10:51:17 UTC 2026","passed","Sun Apr 19 10:51:17 UTC 2026","","test_quant","",""
"","281","test_pca_plot","packages.plot.tests","Sun Apr 19 10:51:10 UTC 2026","passed","Sun Apr 19 10:51:11 UTC 2026","","test_pca","",""
"","201","test_tree_plot_custom_style","packages.plot.tests","Sun Apr 19 10:51:16 UTC 2026","passed","Sun Apr 19 10:51:16 UTC 2026","","test_tree_plot","",""
"测试 root 回调注解可被类型系统正确解析（兼容 Python 3.9）。","14","test_root_callback_config_annotation_compatible","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_main","",""
"","182","test_result_summary_node_excel","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_summary","",""
"","0","test_qc_detect_files","packages.rna_seq.tests","Sun Apr 19 10:51:17 UTC 2026","passed","Sun Apr 19 10:51:17 UTC 2026","","test_qc","",""
"","1","test_dock","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","TestGninaEngine","test_gnina","",""
"测试 _load_typer 接收返回 typer.Typer 的可调用对象","0","test_load_typer_with_callable_returning_typer","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_plugins","",""
"","34","test_get_box_from_receptor","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_auto_box","",""
"","102","test_pie_plot_explode","packages.plot.tests","Sun Apr 19 10:51:12 UTC 2026","passed","Sun Apr 19 10:51:12 UTC 2026","","test_pie","",""
"","24","test_all_plot_types_read_chart_specific_params_in_plot_method","packages.plot.tests","Sun Apr 19 10:50:50 UTC 2026","passed","Sun Apr 19 10:50:50 UTC 2026","","test_chart_specific_theme_support","",""
"","10","test_missing_config_file","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_cli_config","",""
"测试 _load_typer 接收 typer.Typer 实例","0","test_load_typer_with_typer_instance","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_plugins","",""
"","159","test_volcano_cli_tsv","packages.plot.tests","Sun Apr 19 10:50:53 UTC 2026","passed","Sun Apr 19 10:50:53 UTC 2026","","test_cli","",""
"","205","test_scatter_basic","packages.plot.tests","Sun Apr 19 10:51:12 UTC 2026","passed","Sun Apr 19 10:51:12 UTC 2026","","test_scatter","",""
"","48","test_bar_custom_colors","packages.plot.tests","Sun Apr 19 10:50:54 UTC 2026","passed","Sun Apr 19 10:50:54 UTC 2026","","test_customization","",""
"","207","test_bar_plot_generation","packages.plot.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:49 UTC 2026","","test_bar","",""
"Test preparing a ligand from SDF format.","4","test_prepare_ligand_sdf","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_prep","",""
"","1","test_factory_create_gnina","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","TestGninaEngine","test_gnina","",""
"","2","test_distance_tree","packages.msa.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_msa","",""
"","1","test_gc_content","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
"","268","test_chromosome_custom_labels","packages.plot.tests","Sun Apr 19 10:50:54 UTC 2026","passed","Sun Apr 19 10:50:54 UTC 2026","","test_customization","",""
"","11","test_boxes_config_single","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_cli_config","",""
"","1","test_docking_batch_pipeline_construction","packages.core.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_modules_import","",""
"","3","test_pipeline_checkpoint","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_pipeline","",""
"","2","test_compute_box","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","TestSminaEngine","test_smina","",""
"测试根回调命令和配置加载","38","test_root_callback","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_main","",""
"
    Integration test using real CIF receptors and SDF ligands.
    ","137","test_docking_integration_real_data","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_integration","",""
"","1","test_fasttree_builder","packages.msa.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_msa","",""
"","12","test_all_plot_types_support_chart_specific_params","packages.plot.tests","Sun Apr 19 10:50:50 UTC 2026","passed","Sun Apr 19 10:50:50 UTC 2026","","test_chart_specific_theme_support","",""
"Test full docking pipeline with Gnina using real data.","17","test_gnina_docking_pipeline","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_docker_engines","",""
"","1","test_translation","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
"","468","test_latex_support","packages.plot.tests","Sun Apr 19 10:50:55 UTC 2026","passed","Sun Apr 19 10:50:56 UTC 2026","","test_latex","",""
"","12","test_cli_default_box","packages.docking.tests","Sun Apr 19 10:49:45 UTC 2026","passed","Sun Apr 19 10:49:45 UTC 2026","","test_auto_box","",""
"","1","test_blast_empty_query","packages.core.tests","Sun Apr 19 10:49:44 UTC 2026","passed","Sun Apr 19 10:49:44 UTC 2026","","test_sequence","",""
"","140","test_bar_plot_custom_error_bars","packages.plot.tests","Sun Apr 19 10:50:49 UTC 2026","passed","Sun Apr 19 10:50:49 UTC 2026","","test_bar","",""
"Test bounding box calculation.","1","test_get_box_from_ligand","packages.docking.tests","Sun Apr 19 10:50:48 UTC 2026","passed","Sun Apr 19 10:50:48 UTC 2026","","test_prep","",""
"测试主入口函数","2","test_main_function","packages.cli.tests","Sun Apr 19 10:49:43 UTC 2026","passed","Sun Apr 19 10:49:43 UTC 2026","","test_main","",""
